"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"koa-openapi-router","","OpenapiRouter: path","0","0","7","0","0"
"koa-openapi-router","","OpenapiRouter: proxyAction","0","0","3","0","0"
"koa-openapi-router","","OpenapiRouter: valid : response.body","0","0","11","0","0"
"koa-openapi-router","","OpenapiRouter: create","0","0","4","0","0"
"koa-openapi-router","","OpenapiRouter: valid : request.contentType","0","0","6","0","0"
"koa-openapi-router","","OpenapiRouter: valid : request.para","0","0","7","0","0"
"koa-openapi-router","","OpenapiRouter: routerPrefix","0","0","1","0","0"
"koa-openapi-router","","OpenapiRouter: valid : request.body","0","0","4","0","0"
