"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 25 01:28:13 CST 2021","Thu Feb 25 01:28:14 CST 2021","938","supertest-allure-step-helper : expample","","","","","expect `success`",""
"broken","Thu Feb 25 01:28:15 CST 2021","Thu Feb 25 01:28:16 CST 2021","518","supertest-allure-step-helper : expample","","","","","expect `broken` at `.expectHeader()`",""
"broken","Thu Feb 25 01:28:15 CST 2021","Thu Feb 25 01:28:15 CST 2021","361","supertest-allure-step-helper : expample","","","","","expect `broken` at curl",""
"broken","Thu Feb 25 01:28:14 CST 2021","Thu Feb 25 01:28:14 CST 2021","303","supertest-allure-step-helper : expample","","","","","expect `broken` at `expect`",""
"broken","Thu Feb 25 01:28:14 CST 2021","Thu Feb 25 01:28:15 CST 2021","508","supertest-allure-step-helper : expample","","","","","expect `broken` at `.expect(200)`",""
